Property,Property_URL,Rating,Review_Date,Review_Date_Original,Review_Day_of_Week,Review_Month,Review_Month_Name,Review_Text,Review_Year,Reviewer_Name,Scraped_At
The Waters at Hammond,"https://www.google.com/maps/place/The+Waters+at+Hammond/@30.4877489,-90.465321,17z/data=!4m8!3m7!1s0x862723fbcc2afb85:0x188d3eeca51192d0!8m2!3d30.4877443!4d-90.4627461!9m1!1b1!16s%2Fg%2F11rsqw95lz?entry=ttu&g_ep=EgoyMDI1MDgxMC4wIKXMDSoASAFQAw%3D%3D",5,2025-07-16 (unparseable),2025-07-16,Wednesday,7,July,"Went and toured this place with 2 of my friends today. Was always throughly pleased and impressed with The Waters when I visited some friends who lived here last year. Rebecca Elliot was extremely kind and very knowledgeable when welcoming us in, presenting leasing options, and giving us a tour of the place. Very excited to be moving in here 2 months from now. Very clean, still has that brand new feel, and a very fresh and welcoming community space. This definitely will be the nicest rental property I’ve ever stayed at. Without a doubt the best apartment space to rent in Hammond, LA.",2025,Ross Chauvin,2025-08-13T12:26:43.822383
The Waters at Hammond,"https://www.google.com/maps/place/The+Waters+at+Hammond/@30.4877489,-90.465321,17z/data=!4m8!3m7!1s0x862723fbcc2afb85:0x188d3eeca51192d0!8m2!3d30.4877443!4d-90.4627461!9m1!1b1!16s%2Fg%2F11rsqw95lz?entry=ttu&g_ep=EgoyMDI1MDgxMC4wIKXMDSoASAFQAw%3D%3D",5,2023-08-14 (unparseable),2023-08-14,Monday,8,August,Beautiful Resort style location staff is 5 star maintenance are always on time. Pool and game room is very enjoyable nice clean always available for use. Love the ability to get Starbucks.,2023,David Finley,2025-08-13T12:26:44.053031
The Waters at Hammond,"https://www.google.com/maps/place/The+Waters+at+Hammond/@30.4877489,-90.465321,17z/data=!4m8!3m7!1s0x862723fbcc2afb85:0x188d3eeca51192d0!8m2!3d30.4877443!4d-90.4627461!9m1!1b1!16s%2Fg%2F11rsqw95lz?entry=ttu&g_ep=EgoyMDI1MDgxMC4wIKXMDSoASAFQAw%3D%3D",5,2025-04-15 (unparseable),2025-04-15,Tuesday,4,April,"I went on a apartment tour for The Waters at Hammond and had the honor of the exceptional Ms. Kamryn as my tour guide. I had a wonderful experience on my tour and Ms. Kamryn was very helpful in answering all of my questions.

My friend and I were in the search of apartments in the Hammond, Louisiana area and fell in love with the positive and peaceful environment of The Waters at Hammond apartment complex. I am writing this review today because I would like to give a personal shoutout to Ms. Kamryn because she helped us choose The Waters as our new home.

Throughout our time researching the Waters, Ms. Kamryn has always made herself available for questions and concerns. She knew we were new to the apartment searching process and helped us feel more comfortable and at ease. Overall, Ms. Kamryn has done an amazing job helping us and I thank her for her excellent customer service.",2025,Treveon Williams,2025-08-13T12:26:44.203520
The Waters at Hammond,"https://www.google.com/maps/place/The+Waters+at+Hammond/@30.4877489,-90.465321,17z/data=!4m8!3m7!1s0x862723fbcc2afb85:0x188d3eeca51192d0!8m2!3d30.4877443!4d-90.4627461!9m1!1b1!16s%2Fg%2F11rsqw95lz?entry=ttu&g_ep=EgoyMDI1MDgxMC4wIKXMDSoASAFQAw%3D%3D",5,a year ago (unparseable) (unparseable),a year ago (unparseable),,,,Great views and the BEST amenities. Staff is always so helpful and very knowledgeable. love living at this complex.,,Kelly MacDonald,2025-08-13T12:26:44.356039
The Waters at Hammond,"https://www.google.com/maps/place/The+Waters+at+Hammond/@30.4877489,-90.465321,17z/data=!4m8!3m7!1s0x862723fbcc2afb85:0x188d3eeca51192d0!8m2!3d30.4877443!4d-90.4627461!9m1!1b1!16s%2Fg%2F11rsqw95lz?entry=ttu&g_ep=EgoyMDI1MDgxMC4wIKXMDSoASAFQAw%3D%3D",5,a year ago (unparseable) (unparseable),a year ago (unparseable),,,,"I have lived here at the waters for two years. The staff go above and beyond. The property is always clean and welcoming. My girls love going for walks around the pond and to the park. The neighbors are wonderful. Sitting on the patio, the passing neighbors always speak. I love that it’s pet friendly. I hate pets inside my apartment but my kids love being on the patio or walking and see others walking their dogs. Chris, Erika, and Charlie feel like extended family. (They are who you meet in the office) Maintenance guys are great ! Any problem big or small they are on the way asap to find and fix the issue.",,Brittany Cordray,2025-08-13T12:26:44.545772
The Waters at Hammond,"https://www.google.com/maps/place/The+Waters+at+Hammond/@30.4877489,-90.465321,17z/data=!4m8!3m7!1s0x862723fbcc2afb85:0x188d3eeca51192d0!8m2!3d30.4877443!4d-90.4627461!9m1!1b1!16s%2Fg%2F11rsqw95lz?entry=ttu&g_ep=EgoyMDI1MDgxMC4wIKXMDSoASAFQAw%3D%3D",1,2024-12-16 (unparseable),2024-12-16,Monday,12,December,"DO NOT MOVE HERE!!!

Please don’t move here! They will mess your credit history up! They don’t answer the phone and if  they need to contact you Regarding your apartment for any financial reasons they will just send everything to the collection agency! Now I’m dealing with an eviction on my credit after I paid the buy out of the lease. I was never contacted until months later and even then they charged me with the wrong amounts of things that were over charged! I will be getting my lawyer involved because this is unacceptable.

PLEASE DO NOT RENT FROM HERE!",2024,Rhyan Lewis,2025-08-13T12:26:44.737384
The Waters at Hammond,"https://www.google.com/maps/place/The+Waters+at+Hammond/@30.4877489,-90.465321,17z/data=!4m8!3m7!1s0x862723fbcc2afb85:0x188d3eeca51192d0!8m2!3d30.4877443!4d-90.4627461!9m1!1b1!16s%2Fg%2F11rsqw95lz?entry=ttu&g_ep=EgoyMDI1MDgxMC4wIKXMDSoASAFQAw%3D%3D",5,a year ago (unparseable) (unparseable),a year ago (unparseable),,,,"I would highly recommend The Waters at Hammond.  Beautiful property and great staff, from the office to the maintenance crew.  I do visit friends who live there and have enjoyed the pool and gym area many times last year.  The courtesy/police officer on site seems to be on top of her job (from what I have seen and heard).
About the courtesy/police officer (since I’ve seen some bad reviews about her)…
I have witnessed her or her along with staff doing pool checks to make sure people are following the rules/policies of the property.  Two people per apartment seems to be a little strict but at the same time I understand there are over 300 apartments there.  It is good to know there are not a lot of outside people taking up all the space in the amenity areas (like some places may have).  I have spoken to her, and she seems to be as fair as a person can be.  Her motto: “Read your lease, follow the rules and respect your neighbors”.  What more could you ask for?  My friends say that she enforces the rules no matter what your race is and as fair as possible.  So, on the negative comments, I ask myself... Were they following the rules/policies?
About the negative comments, how many people read their lease COMPLETELY?  If they read what they were signing, then they would know the rules/policies of what they can and cannot do.",,Ray S,2025-08-13T12:26:44.901860
The Waters at Hammond,"https://www.google.com/maps/place/The+Waters+at+Hammond/@30.4877489,-90.465321,17z/data=!4m8!3m7!1s0x862723fbcc2afb85:0x188d3eeca51192d0!8m2!3d30.4877443!4d-90.4627461!9m1!1b1!16s%2Fg%2F11rsqw95lz?entry=ttu&g_ep=EgoyMDI1MDgxMC4wIKXMDSoASAFQAw%3D%3D",1,2024-09-17 (unparseable),2024-09-17,Tuesday,9,September,Very rude courtesy officer. We made a simple mistake of misreading a sign and being in the pool 18 minutes after it closed and the “courtesy officer” barged in through the gate in a robe with no identification yelling at us demanding our unit number and personal information. After explaining it was a human mistake of misreading a sign from not using the pool often she continued yelling and demanding personal information and wasn’t providing any credentials and made us feel very unsafe. She is a very angry individual and regardless of us trying to repeatedly explain it being a human mistake and saying we were leaving immediately she kept yelling and said we “didn’t know how to read”.  it made us feel very unsafe even walking back because we didn’t know if she was following. Verbally insulting tenants for a 18 minute mistake and harassment isn’t necessary. Will not be using this amenity again.,2024,Carly,2025-08-13T12:26:45.053277
The Flats at East Bay,"https://www.google.com/maps/place/The+Flats+at+East+Bay/@30.5014556,-87.8652493,17z/data=!4m8!3m7!1s0x889a3f60ad1dd52d:0x332da4c4b0b0c51e!8m2!3d30.5014556!4d-87.8626744!9m1!1b1!16s%2Fg%2F11kphm6rdl?entry=ttu&g_ep=EgoyMDI1MDgxMC4wIKXMDSoASAFQAw%3D%3D",5,2025-07-30 (unparseable),2025-07-30,Wednesday,7,July,"Connie is the absolute best! Not only does she keep the property clean and beautiful, she has quickly become the best part of my morning walk with my dog, Maverick! Connie and the staff here at the Flats make an intentional effort to be true friends to the tenants & their pets! 💛",2025,Camryn Denver,2025-08-13T12:26:59.603096
The Flats at East Bay,"https://www.google.com/maps/place/The+Flats+at+East+Bay/@30.5014556,-87.8652493,17z/data=!4m8!3m7!1s0x889a3f60ad1dd52d:0x332da4c4b0b0c51e!8m2!3d30.5014556!4d-87.8626744!9m1!1b1!16s%2Fg%2F11kphm6rdl?entry=ttu&g_ep=EgoyMDI1MDgxMC4wIKXMDSoASAFQAw%3D%3D",5,2025-07-23 (unparseable),2025-07-23,Wednesday,7,July,"I love living at the Flats of East Bay. I particularly love the staff! Jima is on staff and she is always busy working, keeping up with the clubhouse, taking care of residents needs and she couldn't be more professional and kind! She is truly an asset to your team!",2025,Missy Hoover,2025-08-13T12:26:59.768907
The Flats at East Bay,"https://www.google.com/maps/place/The+Flats+at+East+Bay/@30.5014556,-87.8652493,17z/data=!4m8!3m7!1s0x889a3f60ad1dd52d:0x332da4c4b0b0c51e!8m2!3d30.5014556!4d-87.8626744!9m1!1b1!16s%2Fg%2F11kphm6rdl?entry=ttu&g_ep=EgoyMDI1MDgxMC4wIKXMDSoASAFQAw%3D%3D",5,2025-07-23 (unparseable),2025-07-23,Wednesday,7,July,"Beautiful complex, kept clean by the best crew around, Jima & Connie! Alyson and Chelsea in leasing make you feel at home with their kindness and understanding.",2025,Brianne Calus,2025-08-13T12:26:59.936649
The Flats at East Bay,"https://www.google.com/maps/place/The+Flats+at+East+Bay/@30.5014556,-87.8652493,17z/data=!4m8!3m7!1s0x889a3f60ad1dd52d:0x332da4c4b0b0c51e!8m2!3d30.5014556!4d-87.8626744!9m1!1b1!16s%2Fg%2F11kphm6rdl?entry=ttu&g_ep=EgoyMDI1MDgxMC4wIKXMDSoASAFQAw%3D%3D",5,2025-07-23 (unparseable),2025-07-23,Wednesday,7,July,"Caring staff. Connie and Jima keep everything so beautiful and maintenance is always quick to fix things. Recommend living here to everyone, you cannot beat these amenities.",2025,Grace Litteral,2025-08-13T12:27:00.114940
The Flats at East Bay,"https://www.google.com/maps/place/The+Flats+at+East+Bay/@30.5014556,-87.8652493,17z/data=!4m8!3m7!1s0x889a3f60ad1dd52d:0x332da4c4b0b0c51e!8m2!3d30.5014556!4d-87.8626744!9m1!1b1!16s%2Fg%2F11kphm6rdl?entry=ttu&g_ep=EgoyMDI1MDgxMC4wIKXMDSoASAFQAw%3D%3D",5,2025-04-15 (unparseable),2025-04-15,Tuesday,4,April,The Staff was very accommodating when I changed my move-in date and was helpful in finding the right apartment in the complex that would be best suited for me.  Been here a couple of months and enjoying my new home.,2025,Aloma Dias,2025-08-13T12:27:00.288561
The Flats at East Bay,"https://www.google.com/maps/place/The+Flats+at+East+Bay/@30.5014556,-87.8652493,17z/data=!4m8!3m7!1s0x889a3f60ad1dd52d:0x332da4c4b0b0c51e!8m2!3d30.5014556!4d-87.8626744!9m1!1b1!16s%2Fg%2F11kphm6rdl?entry=ttu&g_ep=EgoyMDI1MDgxMC4wIKXMDSoASAFQAw%3D%3D",5,2024-10-17 (unparseable),2024-10-17,Thursday,10,October,"The best place to live with best people. Kind, caring staff who go out of their way to make it a wonderful place to live. Blane is so knowledgeable and friendly, and just makes the front office such a warm, welcoming place to be. Chelsea personally helped me get through the application and move in process, and does so much to make the Flats community beautiful and welcoming. Allyson is a treasure and cares deeply about the residents and their experience here. Chase-in maintenance- is so kind and helpful. Any slight maintenance issue has always been handled in such a timely and efficient manner. I cant say enough about how much I love living here, because the people who work here seem to care so much about the residents feelng at home. It's affordable, pristine, safe and cozy. I'm truly grateful everyday to have landed here.",2024,Jada P,2025-08-13T12:27:00.467935
The Flats at East Bay,"https://www.google.com/maps/place/The+Flats+at+East+Bay/@30.5014556,-87.8652493,17z/data=!4m8!3m7!1s0x889a3f60ad1dd52d:0x332da4c4b0b0c51e!8m2!3d30.5014556!4d-87.8626744!9m1!1b1!16s%2Fg%2F11kphm6rdl?entry=ttu&g_ep=EgoyMDI1MDgxMC4wIKXMDSoASAFQAw%3D%3D",5,a year ago (unparseable) (unparseable),a year ago (unparseable),,,,The move in process was super easy thanks to all the help from Blaine and Chelsea! They communicated exactly what paperwork I needed on move in day. On move in day I had all my paperwork and Chelsea set everything up for me and put all the apps on my phone I needed and set them up so I didn’t have to. Chelsea did everything for me and I had keys to my new place in less than 15 minutes! The staff is amazing and keep this place clean and looking brand new. The residents are super friendly and everyone is so nice. So glad I picked the flats at east bay!,,Dusty Thronson,2025-08-13T12:27:00.638868
The Flats at East Bay,"https://www.google.com/maps/place/The+Flats+at+East+Bay/@30.5014556,-87.8652493,17z/data=!4m8!3m7!1s0x889a3f60ad1dd52d:0x332da4c4b0b0c51e!8m2!3d30.5014556!4d-87.8626744!9m1!1b1!16s%2Fg%2F11kphm6rdl?entry=ttu&g_ep=EgoyMDI1MDgxMC4wIKXMDSoASAFQAw%3D%3D",5,2024-12-16 (unparseable),2024-12-16,Monday,12,December,From the beginning Chelsea stayed in contact answering any questions I had making sure this was an easy move. The property is beautiful & everyone has been extremely helpful & kind. Special thanks to Mrs. Lorese for moving a good bit of my furniture in my apartment before my arrival which was no easy task & for being the absolute sweetest. Highly recommend to anyone looking for a place to call home.,2024,Tamara,2025-08-13T12:27:00.806712
The Heights at Picardy,"https://www.google.com/maps/place/The+Heights+at+Picardy/@30.394175,-91.1028869,17z/data=!4m8!3m7!1s0x8626a56f7f0dc5bf:0xb38345b83bdc892b!8m2!3d30.3941704!4d-91.100312!9m1!1b1!16s%2Fg%2F11wc3yhv50?entry=ttu&g_ep=EgoyMDI1MDgxMC4wIKXMDSoASAFQAw%3D%3D",5,2025-04-15 (unparseable),2025-04-15,Tuesday,4,April,"Still under construction but we’re almost done and will be open soon, amenities areas are so cool and the rooms are nice as well normal apartment spaces, don’t know anything about the pricing but it looks pretty.",2025,Bayron Rivera,2025-08-13T12:27:15.126832
The Heights at Picardy,"https://www.google.com/maps/place/The+Heights+at+Picardy/@30.394175,-91.1028869,17z/data=!4m8!3m7!1s0x8626a56f7f0dc5bf:0xb38345b83bdc892b!8m2!3d30.3941704!4d-91.100312!9m1!1b1!16s%2Fg%2F11wc3yhv50?entry=ttu&g_ep=EgoyMDI1MDgxMC4wIKXMDSoASAFQAw%3D%3D",5,2025-06-14 (unparseable),2025-06-14,Saturday,6,June,Has everything you could want. Don't look anywhere else.,2025,Drew Robbins,2025-08-13T12:27:15.303246
The Waters at Bluebonnet,"https://www.google.com/maps/place/The+Waters+at+Bluebonnet/@30.4147288,-91.0766963,17z/data=!4m8!3m7!1s0x8626a53bc0c94fbf:0x84b7af1708cc8d8d!8m2!3d30.4147242!4d-91.0741214!9m1!1b1!16s%2Fg%2F11vhqlgm6w?entry=ttu&g_ep=EgoyMDI1MDgxMC4wIKXMDSoASAFQAw%3D%3D",5,2025-07-30 (unparseable),2025-07-30,Wednesday,7,July,"Resort-style living in the heart of the city? Yes, please!
We’re loving it here, not just for the vacation vibes, but for so many thoughtful details:
✅ Approachable, genuinely friendly, and responsive management (special mention to Allison, Maggie, Jacob, Sharon, Michael from Maintenance)
✅ Welcoming neighbors (even the pups are social!)
✅ Gated and well-lit (safe for late-night dog walks
✅ Pool, clubhouse, mailroom & fitness room: all phone-accessed!
✅ Fenced-in dog park = happy pup life
✅ Gorgeous clubhouse (we’ve already enjoyed one fun event and can’t wait for more)
✅ Our balcony is our cozy retreat
✅ Scenic ponds + aesthetic views = daily “ahhh” moments
✅ Free snacks and Starbucks coffee at the Clubhouse (my 11-year-old saw that on our tour and said, “Deal’s closed. We’re living here!” 😂)
✅ Costco across the road + fave restaurants nearby
✅ Valet trash pickup = added convenience
✅ And we got to break in brand-new appliances 🙌
City living, comfort, and community. 👌🏼 So glad to call this place home! ❤️",2025,Vida Mia Tagoc,2025-08-13T12:27:28.129838
The Waters at Bluebonnet,"https://www.google.com/maps/place/The+Waters+at+Bluebonnet/@30.4147288,-91.0766963,17z/data=!4m8!3m7!1s0x8626a53bc0c94fbf:0x84b7af1708cc8d8d!8m2!3d30.4147242!4d-91.0741214!9m1!1b1!16s%2Fg%2F11vhqlgm6w?entry=ttu&g_ep=EgoyMDI1MDgxMC4wIKXMDSoASAFQAw%3D%3D",4,2025-03-16 (unparseable),2025-03-16,Sunday,3,March,"A NEW apartment complex in the community.  I took a tour of the facility and was a little impressed of the amenities more than the space in the apartment. Love the pool area.

Telling it like it IS 😀
TerryB 🦼",2025,Terry Buckhalter,2025-08-13T12:27:28.311349
The Waters at Bluebonnet,"https://www.google.com/maps/place/The+Waters+at+Bluebonnet/@30.4147288,-91.0766963,17z/data=!4m8!3m7!1s0x8626a53bc0c94fbf:0x84b7af1708cc8d8d!8m2!3d30.4147242!4d-91.0741214!9m1!1b1!16s%2Fg%2F11vhqlgm6w?entry=ttu&g_ep=EgoyMDI1MDgxMC4wIKXMDSoASAFQAw%3D%3D",5,2025-06-14 (unparseable),2025-06-14,Saturday,6,June,Allison was amazing today. She definitely  knew her stuff. Can't wait to make this  place  home... Maggie was also very professional and  friendly.  What a great staff!!!,2025,Jennifer Beck,2025-08-13T12:27:28.482488
The Waters at Bluebonnet,"https://www.google.com/maps/place/The+Waters+at+Bluebonnet/@30.4147288,-91.0766963,17z/data=!4m8!3m7!1s0x8626a53bc0c94fbf:0x84b7af1708cc8d8d!8m2!3d30.4147242!4d-91.0741214!9m1!1b1!16s%2Fg%2F11vhqlgm6w?entry=ttu&g_ep=EgoyMDI1MDgxMC4wIKXMDSoASAFQAw%3D%3D",5,2024-10-17 (unparseable),2024-10-17,Thursday,10,October,"The front office manager, Jacob he’s a very nice respectful, young guy and Aaliyah, they are all very respectful. They are so sweet and nice to everyone that comes into the office. The whole office crew is very polite and very manageable and respectful. I speak highly of them. They try their best to help you with any situation that occur on the property and everything with you . I Can say this about the apartment complex it’s a lovely place to live and the maintenance people be right on time they comes out and fix the problem that you’ve they responded quickly and they’re very helpful polite",2024,Jeanine Clark,2025-08-13T12:27:28.663170
The Waters at Bluebonnet,"https://www.google.com/maps/place/The+Waters+at+Bluebonnet/@30.4147288,-91.0766963,17z/data=!4m8!3m7!1s0x8626a53bc0c94fbf:0x84b7af1708cc8d8d!8m2!3d30.4147242!4d-91.0741214!9m1!1b1!16s%2Fg%2F11vhqlgm6w?entry=ttu&g_ep=EgoyMDI1MDgxMC4wIKXMDSoASAFQAw%3D%3D",5,2025-02-14 (unparseable),2025-02-14,Friday,2,February,We toured the place and loved it! We applied for a place right after the tour! Highly recommend!,2025,VickssLife,2025-08-13T12:27:28.850995
The Waters at Bluebonnet,"https://www.google.com/maps/place/The+Waters+at+Bluebonnet/@30.4147288,-91.0766963,17z/data=!4m8!3m7!1s0x8626a53bc0c94fbf:0x84b7af1708cc8d8d!8m2!3d30.4147242!4d-91.0741214!9m1!1b1!16s%2Fg%2F11vhqlgm6w?entry=ttu&g_ep=EgoyMDI1MDgxMC4wIKXMDSoASAFQAw%3D%3D",5,a week ago (unparseable) (unparseable),a week ago (unparseable),,,,Great complex and staff.,,Ev Riley,2025-08-13T12:27:29.032101
The Waters at Bluebonnet,"https://www.google.com/maps/place/The+Waters+at+Bluebonnet/@30.4147288,-91.0766963,17z/data=!4m8!3m7!1s0x8626a53bc0c94fbf:0x84b7af1708cc8d8d!8m2!3d30.4147242!4d-91.0741214!9m1!1b1!16s%2Fg%2F11vhqlgm6w?entry=ttu&g_ep=EgoyMDI1MDgxMC4wIKXMDSoASAFQAw%3D%3D",5,2024-11-16 (unparseable),2024-11-16,Saturday,11,November,Amazing place amazing people 10 stars,2024,Sam Simon,2025-08-13T12:27:29.223067
The Waters at Bluebonnet,"https://www.google.com/maps/place/The+Waters+at+Bluebonnet/@30.4147288,-91.0766963,17z/data=!4m8!3m7!1s0x8626a53bc0c94fbf:0x84b7af1708cc8d8d!8m2!3d30.4147242!4d-91.0741214!9m1!1b1!16s%2Fg%2F11vhqlgm6w?entry=ttu&g_ep=EgoyMDI1MDgxMC4wIKXMDSoASAFQAw%3D%3D",5,2024-09-17 (unparseable),2024-09-17,Tuesday,9,September,Perfect location and has friendly staff!!,2024,Drew Robbins,2025-08-13T12:27:29.420867
The Waters at Crestview,"https://www.google.com/maps/place/The+Waters+at+Crestview/@30.72914,-86.5837232,16z/data=!4m12!1m2!2m1!1sThe+Waters+at+Crestview!3m8!1s0x8891732640bd5b21:0x1f92c28a5bf11ed2!8m2!3d30.72914!4d-86.574196!9m1!1b1!15sChdUaGUgV2F0ZXJzIGF0IENyZXN0dmlld5IBEWFwYXJ0bWVudF9jb21wbGV4qgFPCg0vZy8xMXdqOWIxd19sEAEyHxABIhtz0Zy4AByGfqcuDOZ1uEsX5sFCaoT55uVWfksyGxACIhd0aGUgd2F0ZXJzIGF0IGNyZXN0dmlld-ABAA!16s%2Fg%2F11wj9b1w_l?entry=ttu&g_ep=EgoyMDI1MDgxMC4wIKXMDSoASAFQAw%3D%3D",5,2025-04-15 (unparseable),2025-04-15,Tuesday,4,April,"Jordan and Reagan were incredible throughout the entire leasing process. From the very beginning, they were friendly, professional, and always available to answer my questions. They made what can sometimes be a stressful experience feel completely effortless. I truly felt supported every step of the way, and they went above and beyond to make sure everything was handled smoothly.

Thanks to them, as a fellow stoa team member, I felt confident and excited about my decision—and I’m so happy to now call this place my new home. I can’t wait to get settled in! Huge thanks to Jordan and Reagan for making it such a positive experience!",2025,Blane Laneri,2025-08-13T12:27:44.005261
The Waters at Crestview,"https://www.google.com/maps/place/The+Waters+at+Crestview/@30.72914,-86.5837232,16z/data=!4m12!1m2!2m1!1sThe+Waters+at+Crestview!3m8!1s0x8891732640bd5b21:0x1f92c28a5bf11ed2!8m2!3d30.72914!4d-86.574196!9m1!1b1!15sChdUaGUgV2F0ZXJzIGF0IENyZXN0dmlld5IBEWFwYXJ0bWVudF9jb21wbGV4qgFPCg0vZy8xMXdqOWIxd19sEAEyHxABIhtz0Zy4AByGfqcuDOZ1uEsX5sFCaoT55uVWfksyGxACIhd0aGUgd2F0ZXJzIGF0IGNyZXN0dmlld-ABAA!16s%2Fg%2F11wj9b1w_l?entry=ttu&g_ep=EgoyMDI1MDgxMC4wIKXMDSoASAFQAw%3D%3D",5,2025-06-14 (unparseable),2025-06-14,Saturday,6,June,One of the nicest apartment complexes we have toured. The amenities are spacious and first class. The pool area is really nice. The grills are a very nice touch. The apartments are very nice. We love the layout and the appliances are very nice. The welcome gift was a very nice surprise!,2025,Allen Williams,2025-08-13T12:27:44.168930
The Waters at Crestview,"https://www.google.com/maps/place/The+Waters+at+Crestview/@30.72914,-86.5837232,16z/data=!4m12!1m2!2m1!1sThe+Waters+at+Crestview!3m8!1s0x8891732640bd5b21:0x1f92c28a5bf11ed2!8m2!3d30.72914!4d-86.574196!9m1!1b1!15sChdUaGUgV2F0ZXJzIGF0IENyZXN0dmlld5IBEWFwYXJ0bWVudF9jb21wbGV4qgFPCg0vZy8xMXdqOWIxd19sEAEyHxABIhtz0Zy4AByGfqcuDOZ1uEsX5sFCaoT55uVWfksyGxACIhd0aGUgd2F0ZXJzIGF0IGNyZXN0dmlld-ABAA!16s%2Fg%2F11wj9b1w_l?entry=ttu&g_ep=EgoyMDI1MDgxMC4wIKXMDSoASAFQAw%3D%3D",5,2025-07-16 (unparseable),2025-07-16,Wednesday,7,July,Everyone has been really professional and very helpful. Hopefully the team never changes. Joyce you rock 😊. Thank you everyone for all your help!,2025,T B,2025-08-13T12:27:44.343587
The Waters at Millerville,"https://www.google.com/maps/place/The+Waters+at+Millerville/@30.439755,-91.0289876,17z/data=!4m8!3m7!1s0x8626bd7f2db7ca89:0x1d15edca3d614c78!8m2!3d30.4397504!4d-91.0264127!9m1!1b1!16s%2Fg%2F11sdm7v6s3?entry=ttu&g_ep=EgoyMDI1MDgxMC4wIKXMDSoASAFQAw%3D%3D",5,a month ago (unparseable) (unparseable),a month ago (unparseable),,,,I love living here. I've only been here since Feb but so far my experience has been great. An'Tajha made my move in seamless. She was so courteous and knowledgeable about the apartments and answered all my questions. She stayed with a smile on her face and was a pleasure to talk to.,,Tasha Lewis,2025-08-13T12:27:56.985711
The Waters at Millerville,"https://www.google.com/maps/place/The+Waters+at+Millerville/@30.439755,-91.0289876,17z/data=!4m8!3m7!1s0x8626bd7f2db7ca89:0x1d15edca3d614c78!8m2!3d30.4397504!4d-91.0264127!9m1!1b1!16s%2Fg%2F11sdm7v6s3?entry=ttu&g_ep=EgoyMDI1MDgxMC4wIKXMDSoASAFQAw%3D%3D",3,2025-05-15 (unparseable),2025-05-15,Thursday,5,May,"I started off loving this apartment because they are very nice and maintenance does a great job keeping it clean but when it comes to the office staff when I moved in, I was handed a map and was told to find my apartment so I had to drive around and look for it. They tried to reschedule my move-in time after I paid the movers to be here for a certain time, but we got over that.  A few months later this car came speeding through the parking lot and hit my car head on, and yet they put a sticker on my car in the parking lot in the spot that I pay for telling me that it will be towed because it doesn’t meet the physical requirements and the car was still driveable. A few months later, I was informed by the courtesy officer that they told him To put the ticket on my car because they rented out the spot that I currently pay for to a new resident without telling me, and without my permission and are still forcing me to move out of the spot for them when it was their mistake. I received no apology!",2025,Kayla Hills,2025-08-13T12:27:57.173986
The Waters at Millerville,"https://www.google.com/maps/place/The+Waters+at+Millerville/@30.439755,-91.0289876,17z/data=!4m8!3m7!1s0x8626bd7f2db7ca89:0x1d15edca3d614c78!8m2!3d30.4397504!4d-91.0264127!9m1!1b1!16s%2Fg%2F11sdm7v6s3?entry=ttu&g_ep=EgoyMDI1MDgxMC4wIKXMDSoASAFQAw%3D%3D",1,a month ago (unparseable) (unparseable),a month ago (unparseable),,,,"Maintenance is quick and productive, but I’m really tired and aggravated with this valet trash. They charge an extra $35 per month, and sometimes the trashman doesn’t even come. It’s even worse when they don’t pick up the trash; they leave the lid open, allowing gnats and other insects to swarm over it. This is a recurring issue. The trash men they hire is always lazy",,Gabby H,2025-08-13T12:27:57.353584
The Waters at Millerville,"https://www.google.com/maps/place/The+Waters+at+Millerville/@30.439755,-91.0289876,17z/data=!4m8!3m7!1s0x8626bd7f2db7ca89:0x1d15edca3d614c78!8m2!3d30.4397504!4d-91.0264127!9m1!1b1!16s%2Fg%2F11sdm7v6s3?entry=ttu&g_ep=EgoyMDI1MDgxMC4wIKXMDSoASAFQAw%3D%3D",4,2024-10-17 (unparseable),2024-10-17,Thursday,10,October,"The Waters apartments is a nice place to stay. I really love it here. The only problem is, to me we starting to get a few bad apples. But the management at this apartment is good. There's this one guy I would like to recognize as VIP of this complex. He is truly the best. Luke thanks for all you do to make our home and community look so dam good. Your positive attitude really means a lot. I most definitely would recommend this place to live.",2024,mr bigshaun,2025-08-13T12:27:57.542088
